Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,45.840000,46.369999,45.720001,46.099998,42.720032,1091400
2015-06-11,46.160000,46.570000,46.070000,46.240002,42.849773,1018800
2015-06-12,46.180000,46.360001,45.880001,46.250000,42.859035,660600
2015-06-15,45.980000,45.980000,45.490002,45.680000,42.330822,1056300
2015-06-16,45.509998,45.889999,45.400002,45.779999,42.423496,753400
2015-06-17,45.730000,46.020000,45.169998,45.680000,42.330822,949500
2015-06-18,45.740002,46.160000,45.560001,46.029999,42.655167,753800
2015-06-19,46.119999,46.380001,45.980000,46.049999,42.673698,1286500
2015-06-22,46.320000,46.750000,46.130001,46.750000,43.322384,1122400
2015-06-23,46.790001,46.950001,46.330002,46.549999,43.137039,907800
2015-06-24,46.400002,46.889999,45.660000,45.689999,42.340080,958400
2015-06-25,45.939999,46.139999,45.599998,45.950001,42.581028,945400
2015-06-26,45.990002,46.660000,45.950001,46.639999,43.220448,1345200
2015-06-29,46.250000,46.450001,45.230000,45.270000,41.950882,718600
2015-06-30,45.500000,46.099998,45.389999,45.820000,42.460575,1163800
2015-07-01,46.270000,46.709999,45.720001,45.970001,42.599556,1419900
2015-07-02,46.000000,46.139999,45.689999,46.020000,42.645901,904100
2015-07-06,45.720001,46.090000,45.139999,45.169998,41.858219,1372400
2015-07-07,45.259998,45.570000,44.730000,45.490002,42.154762,1564600
2015-07-08,45.139999,45.439999,44.689999,44.820000,41.533878,852700
2015-07-09,45.360001,45.549999,44.700001,44.730000,41.450485,914900
2015-07-10,45.169998,45.270000,44.910000,45.040001,41.737751,866700
2015-07-13,45.490002,45.910000,45.400002,45.880001,42.516159,766900
2015-07-14,45.740002,46.270000,45.660000,46.169998,42.784893,813400
2015-07-15,46.200001,46.310001,45.090000,45.250000,41.932354,1221900
2015-07-16,45.619999,45.619999,44.720001,44.830002,41.543140,1346000
2015-07-17,44.810001,44.930000,43.919998,44.290001,41.042747,1744700
2015-07-20,44.279999,45.090000,43.900002,44.560001,41.292946,2267000
2015-07-21,44.490002,44.919998,43.900002,44.119999,40.885212,2149400
2015-07-22,43.869999,44.680000,43.869999,44.180000,40.940804,2309000
2015-07-23,45.349998,47.990002,45.099998,47.070000,43.618912,6416300
2015-07-24,47.000000,47.099998,46.029999,46.590000,43.174107,3112600
2015-07-27,46.250000,46.400002,45.570000,45.650002,42.303024,1522200
2015-07-28,46.029999,46.810001,45.880001,46.650002,43.229713,1296800
2015-07-29,46.750000,47.880001,46.430000,47.669998,44.174927,1338200
2015-07-30,47.450001,48.160000,47.279999,47.990002,44.471462,1005900
2015-07-31,48.410000,48.500000,47.610001,47.750000,44.249065,1078200
2015-08-03,47.950001,48.070000,47.220001,47.450001,43.971046,969800
2015-08-04,47.169998,47.990002,47.169998,47.740002,44.239792,869800
2015-08-05,47.880001,48.080002,47.169998,47.570000,44.082264,1406400
2015-08-06,47.580002,48.240002,47.259998,47.369999,43.896923,1047300
2015-08-07,47.189999,48.230000,47.119999,48.209999,44.675327,1429200
2015-08-10,48.500000,49.430000,48.389999,48.980000,45.388870,1715100
2015-08-11,48.450001,49.759998,48.410000,49.689999,46.046822,1746700
2015-08-12,49.070000,50.009998,48.480000,49.860001,46.204361,1795700
2015-08-13,49.790001,50.509998,49.680000,50.380001,46.686234,962700
2015-08-14,50.220001,51.040001,50.090000,50.900002,47.168106,1128300
