Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,59.087238,59.749596,58.844910,59.256866,52.314651,2080707
2015-06-11,59.402264,59.499191,58.796448,59.273022,52.328911,1183776
2015-06-12,59.103394,59.305332,58.869144,59.071083,52.150642,1136236
2015-06-15,58.481422,58.683361,57.875607,58.069466,51.266354,1598877
2015-06-16,58.069466,58.166397,57.568661,58.085621,51.280621,1500456
2015-06-17,58.336025,58.925686,58.336025,58.707592,51.829727,1583154
2015-06-18,58.788368,59.709209,58.408726,59.313408,52.364563,2013978
2015-06-19,59.151859,59.184170,58.529888,58.594505,51.729893,1545891
2015-06-22,58.861065,58.893375,58.384491,58.610661,51.744144,972325
2015-06-23,58.505653,58.772213,58.239094,58.610661,51.744144,724354
2015-06-24,58.618740,58.796448,58.037155,58.239094,51.416122,870685
2015-06-25,58.352180,58.352180,57.326332,57.326332,50.610298,877866
2015-06-26,57.415188,57.689823,57.132473,57.487885,50.752918,3681317
2015-06-29,56.720516,57.431339,56.534733,56.615509,49.982742,1224877
2015-06-30,57.382877,57.681744,56.631664,56.688206,50.046921,1722306
2015-07-01,57.221325,57.334412,56.389339,56.567043,49.939953,1626608
2015-07-02,56.930534,57.156704,56.373184,56.534733,49.911419,1800300
2015-07-06,55.872375,56.768982,55.670437,56.098545,49.526344,1583773
2015-07-07,56.106625,56.510502,55.258480,56.357025,49.754547,2262940
2015-07-08,55.880451,56.114700,54.725365,54.991920,48.549370,1951088
2015-07-09,56.058159,56.058159,54.305332,54.313408,47.950340,2336849
2015-07-10,53.311794,54.063004,52.253635,52.730209,46.552624,3809945
2015-07-13,53.053310,53.562199,52.600967,53.311794,47.066071,3497102
2015-07-14,53.182552,54.014542,52.924072,53.723747,47.429756,2361609
2015-07-15,53.578354,53.578354,52.665588,53.158321,46.930576,1935489
2015-07-16,53.521809,53.990307,53.441032,53.570274,47.294273,2171452
2015-07-17,53.481422,54.143780,53.384491,53.610661,47.329918,1850067
2015-07-20,53.546043,53.852989,53.287560,53.554119,47.280003,1660529
2015-07-21,52.205170,53.327950,51.647820,52.213245,46.096222,4155718
2015-07-22,51.954765,52.633278,51.720516,52.140549,46.032040,1740752
2015-07-23,52.116318,52.657513,52.003231,52.116318,46.010639,2149044
2015-07-24,52.245556,52.318256,51.615509,51.777061,45.711132,2048395
